IPCC_annex;C_group_IM24_sh;Country_code_A3;Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;Y_2023
Non-Annex_I;Rest Central America;ABW;Aruba;CO2;25,21378909;28,82775223;39,47210769;44,28943855;43,46914766;57,39627301;56,42290951;67,09976204;71,93698228;75,91903791;79,77222621;82,89314139;81,82398072;84,42884396;98,59185911;104,1388221;113,7416724;128,6948617;142,8473208;197,4178261;200,852584;226,240584;250,5677385;251,3724207;285,6012752;314,1848746;206,5578689;342,7416687;350,9141307;355,5122501;268,5750445;271,4639686;296,5629013;341,9258985;348,8889071;384,8394267;423,6865291;457,5327506;453,9935438;492,7418079;482,2069036;290,1806778;374,8574242;412,3073055;440,6892147;462,0255929;484,8886069;466,5916123;465,8812093;557,9172665;452,5530635;500,6352474;502,6932552;530,0260977
Non-Annex_I;India +;AFG;Afghanistan;CO2;1733,92027;1733,709906;1693,584478;1733,904787;2190,318066;2028,96685;1892,64158;2282,574455;1934,106762;2059,302221;2006,422982;2259,933489;2309,600549;3001,698788;3224,699088;4123,374917;3941,638537;3272,774528;3087,913325;2895,958996;2922,237037;2847,006214;1819,947845;1784,792523;1685,15192;1462,995999;1417,185939;1384,648236;1420,416757;1375,520279;1016,059431;944,6830216;942,2655887;1007,964175;892,8877885;1266,340324;1408,288105;2009,564225;3833,382772;6082,787222;7788,893115;11408,71139;9767,755639;8300,021704;7825,740854;8346,520776;7527,593714;8066,138489;7932,004694;7249,068567;7054,132973;7930,781033;8259,91526;8707,34983
Non-Annex_I;Southern_Africa;AGO;Angola;CO2;8933,899038;8519,512895;10366,10427;11346,99566;11806,56082;10904,65296;7291,981003;12033,47322;14216,26955;14179,40432;14316,12974;13232,27059;12771,50833;13221,2928;13356,55143;14103,7418;14246,18589;14501,64119;14940,80361;15103,49834;11230,70675;11780,46209;12118,98155;12141,62937;11490,35212;12953,29566;15678,75885;16402,11133;17036,44627;18031,44952;16511,9082;16192,30309;15915,44045;17329,63226;17690,2609;15638,85114;16320,24668;17055,8181;19119,43047;21088,85607;22739,89087;23650,03801;24716,17744;28534,21971;30887,26366;33097,49892;31285,80272;27942,09886;26258,88652;27573,21601;20710,91767;25262,83179;27353,03812;28229,92761
Non-Annex_I;Rest Central America;AIA;Anguilla;CO2;2,177586704;2,177689343;2,273190243;2,1184805;2,359836201;2,593653557;2,444145321;2,546772184;2,911352856;3,222755692;4,422364427;6,649426519;7,028416285;6,098383151;5,810647072;3,680496482;3,164626304;6,136320544;5,808207599;6,160060378;6,126522614;7,592020011;7,915973029;9,965647197;13,14511438;16,40989423;16,22794503;13,57870845;12,46407603;11,7665002;15,54755631;15,92657709;10,87533302;14,12390075;13,48946435;13,67975462;12,8310962;12,373733;15,28787141;20,18064968;24,02448408;26,02830702;26,04373812;27,96126932;27,91705027;28,02663636;28,36258013;29,08662171;28,24729512;27,60442234;22,80365546;22,01782653;21,86133966;22,95554606
Int. Aviation;Int. Aviation;AIR;Int. Aviation;CO2;169900,3985;169900,3985;179759,5311;187494,4063;180478,129;174582,4705;174907,9827;190798,5051;197866,2816;204567,54;203458,2729;202666,5081;210056,3961;211936,887;219877,7488;225908,1363;248130,1413;262332,5178;277172,8438;291117,4265;260688,5964;253692,7113;262158,5581;267306,5886;281060,4083;291771,1661;303696,8869;318336,2545;328978,1409;342962,9092;355323,4824;349189,2906;369503,2558;367412,9017;403086,621;429024,6419;444324,424;459276,2302;466389,4355;443785,3586;466657,0758;480117,8138;483676,6243;492257,2286;507505,7608;536213,6805;560173,8389;589919,3153;615937,5423;625141,4353;298655,6776;331317,4247;411474,8661;491632,3076
Non-Annex_I;Central Europe;ALB;Albania;CO2;4844,988068;4838,128768;5518,291373;4951,942493;5329,617357;5424,117634;5796,572813;6200,933063;6820,995331;7936,703043;8073,499079;7072,604242;7273,021913;7792,231446;8431,155879;8073,940436;8151,358862;8292,707712;8199,593384;7905,921454;6644,969301;4379,473083;2363,037223;2222,701222;2344,087608;2069,963525;2054,932915;1580,47575;1914,674362;3086,587472;3232,531279;3439,287771;4006,358581;4211,217156;4414,043142;4148,476443;4134,680725;4244,375822;4194,610157;4274,597464;4556,850488;4988,210526;4532,852943;4769,330231;5095,835784;4863,525143;4530,278883;5341,515428;5305,582509;4953,544001;4560,776421;5039,333111;4609,009805;4591,827764
Non-Annex_I;Rest Central America;ANT;Netherlands Antilles;CO2;14515,78265;14515,79879;14113,95954;15608,67397;14124,01296;10196,75057;10849,14635;10983,19572;9271,818134;9182,436608;8677,756741;8042,036703;7295,812742;6828,843547;6690,712621;4499,205783;4297,08304;3965,313306;3459,35116;2956,711991;2666,390091;2765,856955;2883,424409;2366,961133;2665,04882;2671,563419;2700,203498;5299,4852;5479,720937;5445,561463;5667,477988;5656,304712;5416,997032;5433,220785;5636,241812;5912,86189;5781,282678;6260,054689;6199,098592;5878,53952;4288,051276;5523,743774;5607,056934;5141,066643;5669,078316;5741,944054;4973,774923;4012,867779;3236,726024;2511,433241;2054,81112;2241,320701;2324,23989;2434,138439
Non-Annex_I;Middle_East;ARE;United Arab Emirates;CO2;19464,78161;25429,81242;27747,3592;35843,60207;36010,68365;36679,44373;45580,99402;45876,4465;52611,38915;37879,50522;41138,48048;38055,48425;38065,03248;36792,7764;49981,2212;51811,51718;50234,06905;52069,8484;50989,23744;56936,02545;56887,56715;64722,21568;62522,40874;65914,12081;72568,52896;77402,54297;80890,82962;84301,60977;86478,13447;89152,44885;88456,92969;101259,3097;103518,3974;108819,5561;115019,6636;122461,8737;127197,6426;137144,0913;164251,8856;165336,8724;171953,7309;177264,4763;185020,878;194923,09;197903,3277;206619,5196;212219,6595;204258,0154;187055,4933;197642,2573;195490,85;201325,0687;206899,4905;205991,3033
Non-Annex_I;Rest South America;ARG;Argentina;CO2;87569,1423;87890,84312;89715,39024;92800,4195;93280,15601;90916,69608;95587,86407;99519,45014;98579,55059;104268,2919;101826,2139;98796,82861;98006,91407;101439,3554;100835,6328;94210,36792;101638,2473;107249,3831;111034,1298;107776,298;100187,6375;105592,8245;107511,0365;111274,3475;114683,2914;116268,3518;126570,5614;130926,3801;138007,9057;139938,6784;136761,6074;131347,0509;124055,033;135244,335;149732,8229;153679,7539;162617,6685;173156,0629;179312,9425;164914,5738;177404,229;184874,4807;188865,7879;193239,7199;190082,0576;196252,1887;194170,1706;191379,1885;189838,9393;183286,9034;170120,2783;190662,0207;193481,6377;183778,4214
Non-Annex_I;Russia +;ARM;Armenia;CO2;10099,48357;10115,47721;10828,85302;11768,52261;12682,19168;13842,18973;14232,24023;14767,81487;15378,62564;15958,98975;17023,83128;17436,09571;17975,76867;18029,73987;18167,0937;18251,74887;18442,27776;18640,10413;18545,438;18126,52075;20780,1266;21598,13756;10976,56687;5115,271474;2808,322205;3541,206317;2594,064983;3338,394856;3472,604987;3104,203003;3569,612355;3633,318269;3101,336185;3470,678865;3759,019339;4462,479612;4445,46886;5154,026875;5648,247601;4501,81369;4298,827714;4903,744031;5669,202578;5492,409107;5760,251117;5616,64906;5374,288737;5688,557231;5950,878354;6424,075918;6913,823302;7509,184664;7289,276174;7725,144396
Non-Annex_I;Oceania;ASM;American Samoa;CO2;0,052676024;0,053884355;0,055005311;0,056024951;0,056947555;0,057805286;0,058550521;0,059249378;0,060031056;0,061115437;0,062624679;0,06462766;0,067044597;0,069802749;0,072760496;0,075765864;0,078831694;0,081932997;0,084995515;0,087961272;0,090744687;0,092774807;0,094624236;0,096335489;0,097979933;0,099597044;0,101208082;0,102744718;0,104202396;0,105521898;0,106662227;0,08833377;0,089178009;0,089764117;0,104968224;0,089765635;0,089055017;0,087920762;0,086595186;0,085375899;0,084480034;0,083998697;0,083862039;0,083978957;0,084176351;0,084328193;0,084422334;0,084486108;0,084543808;0,084616691;0,084726017;0,085031219;0,085031219;0,085031219
Non-Annex_I;Rest Central America;ATG;Antigua and Barbuda;CO2;102,3544219;102,2698791;124,5684846;125,665161;111,9424555;135,5440589;122,8687607;135,6734475;135,7028811;134,210808;132,6783762;116,280524;147,6080198;85,33510243;104,2985689;104,6581085;110,6690885;146,2402035;157,872775;161,8243317;163,6623599;164,3744355;165,5230304;161,3397678;175,7353581;183,8855351;182,4192883;192,9824906;197,5855844;200,1790325;135,3852246;132,3435249;149,7141974;163,2820594;165,9119111;172,0364249;195,8333928;214,3206844;230,7288202;266,2408266;278,4913337;212,1791247;226,0775885;259,3296018;279,5385239;290,8090233;314,7184839;276,9804926;294,9430854;340,3226472;275,9004898;305,2081422;306,4547585;323,1056183
Annex_I;Oceania;AUS;Australia;CO2;160376,939;162107,7229;167956,9496;177318,4756;186846,3146;193595,0414;196384,0386;209663,8004;205988,5888;211845,4117;222014,6875;222974,7375;229262,384;217733,3539;223519,0045;237935,4424;238395,2806;249584,5186;258383,3076;274161,2032;277712,2816;279733,6264;283112,9244;287023,9277;292375,5586;302692,2719;312671,2518;322370,9458;342108,7366;348112,6583;353869,6869;360408,1498;368620,9057;368114,9658;381942,0118;384085,6836;390151,2578;400665,2897;404285,121;410259,4192;415273,1165;412809,5962;413319,276;405652,3135;396257,5236;400542,4269;408506,0579;410837,0885;409206,6671;407860,3828;392519,0523;384677,2393;374878,511;373616,4239
